Run_ID	Raw_Reads	QC_Filtered_Reads	Survival_Rate
SRR31872671	457797	456695	99.00%
SRR31872672	440488	439896	99.00%
SRR31872673	465829	464740	99.00%
SRR31872674	407316	406680	99.00%
SRR31872675	650928	645508	99.00%
SRR31872676	483130	482161	99.00%
SRR31872677	458134	457380	99.00%
SRR31872678	560220	559131	99.00%
SRR31872679	59047	58154	98.00%
SRR31872680	36854	30825	83.00%
SRR31872681	56076	55598	99.00%
SRR31872682	66753	66386	99.00%
SRR31872683	61485	61167	99.00%
SRR31872684	63304	62963	99.00%
SRR31872685	46659	46354	99.00%
SRR31872686	588035	580560	98.00%
SRR31872687	53868	53576	99.00%
SRR31872688	66908	66482	99.00%
SRR31872689	43108	42745	99.00%
SRR31872690	41178	38928	94.00%
SRR31872691	52112	51215	98.00%
SRR31872692	53900	52945	98.00%
SRR31872693	39820	36649	92.00%
SRR31872694	55085	53358	96.00%
SRR31872695	41117	34005	82.00%
SRR31872696	683225	681554	99.00%
SRR31872697	562673	553841	98.00%
SRR31872698	628195	618159	98.00%
SRR31872699	596468	592427	99.00%
SRR31872700	718348	714053	99.00%
SRR31872701	579335	574492	99.00%
SRR31872702	512786	507802	99.00%
SRR31872703	630128	624837	99.00%
SRR31872704	719629	714552	99.00%
SRR31872705	614850	604493	98.00%
SRR31872706	621997	617941	99.00%
SRR31872707	731262	728785	99.00%
SRR31872708	753393	750337	99.00%
SRR31872709	605766	603434	99.00%
SRR31872710	519149	517898	99.00%
SRR31872711	540411	535581	99.00%
SRR31872712	573569	571248	99.00%
SRR31872713	577459	574299	99.00%
SRR31872714	583750	581254	99.00%
SRR31872715	657886	651952	99.00%
SRR31872716	604556	599528	99.00%
SRR31872717	692556	690542	99.00%
SRR31872718	639992	638065	99.00%
SRR31872719	683560	670726	98.00%
SRR31872720	552209	550468	99.00%
SRR31872721	606157	604484	99.00%
SRR31872722	657075	655829	99.00%
SRR31872723	627469	625669	99.00%
SRR31872724	581918	579871	99.00%
SRR31872725	642726	640843	99.00%
SRR31872726	627654	625900	99.00%
SRR31872727	621733	620131	99.00%
SRR31872728	578691	576743	99.00%
SRR31872729	765605	763898	99.00%
SRR31872730	606000	593227	97.00%
SRR31872731	606458	602595	99.00%
SRR31872732	585239	583195	99.00%
SRR31872733	620242	618744	99.00%
SRR31872734	705012	700075	99.00%
SRR31872735	715298	713569	99.00%
SRR31872736	636994	635399	99.00%
SRR31872737	1079795	1076123	99.00%
SRR31872738	605094	600736	99.00%
SRR31872739	532216	529166	99.00%
SRR31872740	516451	509960	98.00%
SRR31872741	493809	488683	98.00%
SRR31872742	846600	844472	99.00%
SRR31872743	450808	449837	99.00%
SRR31872744	392045	391351	99.00%
SRR31872745	441067	440291	99.00%
SRR31872746	418563	417808	99.00%
SRR31872747	494774	493711	99.00%
SRR31872748	375968	375504	99.00%
SRR31872749	660472	658404	99.00%
SRR31872750	551852	550233	99.00%
SRR31872751	579700	565426	97.00%
SRR31872752	624815	621618	99.00%
SRR31872753	483392	482078	99.00%
SRR31872754	698803	695334	99.00%
SRR31872755	767161	765899	99.00%
SRR31872756	796863	794885	99.00%
SRR31872757	590972	589475	99.00%
SRR31872758	594711	589744	99.00%
SRR31872759	627578	624677	99.00%
SRR31872760	375626	370282	98.00%
SRR31872761	508016	505443	99.00%
SRR31872762	464643	441697	95.00%
SRR31872763	642846	639760	99.00%
SRR31872764	756035	752981	99.00%
SRR31872765	902797	896356	99.00%
SRR31872766	373315	372089	99.00%
SRR31872767	379634	379120	99.00%
SRR31872768	395933	388511	98.00%
SRR31872769	420608	419886	99.00%
SRR31872770	359959	334476	92.00%
SRR31872771	413469	412539	99.00%
SRR31872772	472113	470042	99.00%
SRR31872773	338559	330812	97.00%
SRR31872774	276681	253093	91.00%
SRR31872775	397211	395245	99.00%
SRR31872776	353938	353080	99.00%
SRR31872777	365413	364651	99.00%
SRR31872778	345452	344217	99.00%
SRR31872779	373230	372559	99.00%
SRR31872780	350820	350128	99.00%
SRR31872781	410515	409686	99.00%
SRR31872782	293956	293426	99.00%
SRR31872783	648087	642794	99.00%
SRR31872784	373671	372857	99.00%
SRR31872785	344942	343966	99.00%
SRR31872786	317018	316477	99.00%
SRR31872787	368073	367265	99.00%
SRR31872788	390953	387093	99.00%
SRR31872789	345527	344996	99.00%
SRR31872790	367906	365967	99.00%
SRR31872791	434535	433764	99.00%
SRR31872792	491788	490881	99.00%
SRR31872793	498785	497908	99.00%
SRR31872794	461046	454046	98.00%
SRR31872795	576111	569959	98.00%
SRR31872796	457776	450736	98.00%
