Run_ID	Raw_Reads	QC_Filtered_Reads	Survival_Rate
SRR31184266	7026	6985	99.00%
SRR31184267	63783	63573	99.00%
SRR31184268	7209	7171	99.00%
SRR31184269	17914	17852	99.00%
SRR31184270	18389	18313	99.00%
SRR31184271	40183	40071	99.00%
SRR31184272	27103	26985	99.00%
SRR31184273	31214	31079	99.00%
SRR31184274	44507	44331	99.00%
SRR31184275	24120	23974	99.00%
SRR31184276	46066	45880	99.00%
SRR31184277	55542	55355	99.00%
SRR31184278	13164	13114	99.00%
SRR31184279	39565	39416	99.00%
SRR31184280	33845	33716	99.00%
SRR31184281	38350	38208	99.00%
SRR31184282	4407	4393	99.00%
SRR31184283	34676	34534	99.00%
SRR31184284	8558	8534	99.00%
SRR31184285	42215	42056	99.00%
SRR31184286	36704	36555	99.00%
SRR31184287	28133	28026	99.00%
SRR31184288	25417	25298	99.00%
SRR31184289	40430	40288	99.00%
SRR31184516	1671	1654	98.00%
SRR31184517	24502	24167	98.00%
SRR31184518	722	719	99.00%
SRR31184519	20325	20145	99.00%
SRR31184520	3427	3405	99.00%
SRR31184521	26522	26309	99.00%
SRR31184522	8430	8258	97.00%
SRR31184523	542	539	99.00%
SRR31184524	41667	41502	99.00%
SRR31184525	122	121	99.00%
SRR31184526	54807	54627	99.00%
SRR31184527	45848	45730	99.00%
SRR31184528	171	170	99.00%
SRR31184529	30909	30733	99.00%
SRR31184530	8759	8721	99.00%
SRR31184531	20263	20179	99.00%
SRR31184532	263	261	99.00%
SRR31184533	32460	32222	99.00%
SRR31184534	721	717	99.00%
SRR31184535	13573	13441	99.00%
SRR31184536	3049	3035	99.00%
SRR31184537	29113	28845	99.00%
SRR31184538	1495	1485	99.00%
SRR31184539	19311	19236	99.00%
SRR31973928	43850	43509	99.00%
SRR31973929	33505	33271	99.00%
SRR31973930	37607	37347	99.00%
SRR31973931	31699	31426	99.00%
SRR31973932	33288	32975	99.00%
SRR31973933	20010	19828	99.00%
SRR31973934	34372	34118	99.00%
SRR31973935	34852	34577	99.00%
SRR31973936	41794	41458	99.00%
SRR31973937	32364	32098	99.00%
SRR31973938	27486	27229	99.00%
SRR31973939	27762	27513	99.00%
